MS2Scan,Instrument_m/z,Calculated_m/z,SummedIntensity
2873,676.781037,676.781,3754695
2875,669.2960205,669.2933,1810049.969
2801,685.7739788,685.7742,3158612.5
2862,676.2875069,676.2875,7630698.875
2811,669.2930379,669.2932,3434684.25
2854,669.2937089,669.2928,3377864.625
3038,668.3044883,668.3038,280337.6328
3179,669.2938122,669.2931,259937.8984
3078,676.2876393,676.2872,694556.8438
4328,668.3041117,668.3036,111005.7227
3123,669.2932878,669.2933,379959.5469
3235,676.2876343,676.287,355570.1953
4277,668.3035941,668.3036,208970.8516
2199,669.2931099,669.293,151308.9219
4243,669.2930634,669.2924,46578.64551
3262,669.2930261,669.2933,208991.7813
2190,685.2719616,685.2712,52182.10938
3107,683.7695853,683.7704,105386.3379
3797,669.292966,669.2927,53281.66602
3377,669.2928156,669.2933,208991.7813
3129,685.2734906,685.2734,88236.96875
2656,669.2924314,669.2924,46963.71875
3300,676.2869014,676.287,231884.4609
3181,688.2697405,688.2696,63613.98047
4494,676.2866571,676.2869,52456.71289
3531,676.2868336,676.2872,154268.4453
2653,676.2865029,676.2873,76402.24219
4147,676.2872814,676.2877,60525.80273
2661,685.2712595,685.2708,45159.91016
2844,451.1938005,451.1937,4508555.75
2891,451.5225403,451.5226,5391694.5
2863,451.1939081,451.1939,4425551.688
2808,457.1848325,457.1844,1639166.25
2904,685.77159,685.7687,2567701.75
3029,685.7731368,685.7728,278060.9688
3084,451.1937288,451.1937,618773.9297
2925,457.5176165,457.5171,274067.125
2864,446.5310576,446.5314,1761432.75
2652,451.1928861,451.1929,71270.20313
3317,451.1932202,451.1938,206182.5117
3756,676.2862206,676.287,130341.707
3964,676.2865634,676.2866,98961.9707
3150,457.5180505,457.5182,72130.75586
